word,definition,pos,cefr_level,theme,example_sentence,difficulty,word_type
borrow,To take something from someone and give it back later,verb,A2,Daily Life,Can I _ your pen for a moment?,2,vocabulary
neighbour,A person who lives next to you or near you,noun,A2,People & Relationships,Our friendly _ helped us carry the boxes.,2,vocabulary
breakfast,The first meal you eat in the morning,noun,A2,Daily Life,She had eggs and toast for _.,1,vocabulary
tired,Needing rest or sleep,adjective,A2,Health & Body,After the long walk I felt very _.,1,vocabulary
arrive,To reach a place,verb,A2,Travel & Places,The train will _ at the station soon.,2,vocabulary
gift,Something you give to someone on a special day,noun,A2,People & Relationships,She wrapped the birthday _ in blue paper.,1,vocabulary
clean,Free from dirt,adjective,A2,Daily Life,Please keep your room _ and tidy.,1,vocabulary
forget,To not remember something,verb,A2,Daily Life,Don't _ to lock the door when you leave.,2,vocabulary
afraid,Feeling fear or worry,adjective,A2,People & Relationships,The child was _ of the loud thunder.,2,vocabulary
weather,"The state of the sky and air, like rain or sun",noun,A2,Nature & Environment,The _ today is sunny and warm.,2,vocabulary
kitchen,The room where you cook food,noun,A2,Daily Life,She is cooking dinner in the _.,1,vocabulary
healthy,Strong and not ill,adjective,A2,Health & Body,Eating vegetables helps you stay _.,2,vocabulary
ticket,A small paper that lets you travel or enter,noun,A2,Travel & Places,I bought a _ for the morning bus.,2,vocabulary
quiet,Making little or no noise,adjective,A2,Daily Life,The library is a _ place to study.,2,vocabulary
repair,To fix something that is broken,verb,B1,Daily Life,A mechanic will _ my car tomorrow.,3,vocabulary
invite,To ask someone to come to an event,verb,A2,People & Relationships,They will _ all their friends to the party.,2,vocabulary
medicine,Something you take to feel better when ill,noun,A2,Health & Body,The doctor gave her some _ for the cough.,2,vocabulary
luggage,The bags you carry when you travel,noun,B1,Travel & Places,He put his heavy _ on the train.,3,vocabulary
borrow money,To take money you must pay back later,verb,B1,Work & Career,She had to _ from the bank to buy a house.,3,expression
exercise,Physical activity to keep the body fit,noun,A2,Health & Body,Daily _ keeps your heart strong.,2,vocabulary
weekend,"Saturday and Sunday, when many people rest",noun,A2,Daily Life,We often visit the park on the _.,1,vocabulary
share,To give part of something to others,verb,A2,People & Relationships,The children learned to _ their toys.,2,vocabulary
crowded,Full of too many people,adjective,B1,Travel & Places,The market was very _ on Saturday.,3,vocabulary
honest,Telling the truth and not lying,adjective,B1,People & Relationships,An _ person admits their mistakes.,3,vocabulary
delicious,Tasting very good,adjective,A2,Daily Life,The soup my mother made was _.,2,vocabulary
neighbourhood,The area around where you live,noun,B1,Travel & Places,They moved to a quiet _ near the river.,3,vocabulary
careful,Giving attention so you do not make mistakes,adjective,A2,Daily Life,Be _ when you cross the busy street.,2,vocabulary
improve,To make something better,verb,B1,Academic Study,Reading every day will _ your English.,3,vocabulary
hungry,Wanting to eat,adjective,A2,Health & Body,The baby cried because she was _.,1,vocabulary
borrow time,To delay something that will happen anyway,verb,B1,Daily Life,Fixing only the small problem just helped them _.,4,idiom
water,A clear liquid that people and animals drink,noun,A1,Daily Life,Please give me a glass of _.,1,vocabulary
bread,A common food made from flour and baked in an oven,noun,A1,Daily Life,She bought a loaf of fresh _ from the shop.,1,vocabulary
apple,A round fruit that is red or green,noun,A1,Daily Life,He ate a juicy _ after lunch.,1,vocabulary
milk,A white drink that comes from cows,noun,A1,Daily Life,The baby drank a bottle of warm _.,1,vocabulary
