word,pos,cefr,theme,definition,example_sentence
the,determiner,A2,General,(TBD: the),She opened _ door and walked inside.
of,preposition,A2,General,(TBD: of),The answer is _ .
and,conjunction,A2,General,(TBD: and),The answer is _ .
to,particle,A2,General,(TBD: to),The answer is _ .
in,preposition,A2,General,(TBD: in),The answer is _ .
is,verb,A2,General,(TBD: is),My cat _ very small and quiet.
for,preposition,A2,General,(TBD: for),The answer is _ .
it,pronoun,A2,General,(TBD: it),The answer is _ .
with,preposition,A2,General,(TBD: with),The answer is _ .
be,verb,A2,General,(TBD: be),The answer is _ .
by,preposition,A2,General,(TBD: by),The answer is _ .
was,verb,A2,General,(TBD: was),The answer is _ .
on,preposition,A2,General,(TBD: on),The answer is _ .
that,preposition,A2,General,(TBD: that),The answer is _ .
as,preposition,A2,General,(TBD: as),The answer is _ .
not,adverb,A2,General,(TBD: not),The answer is _ .
or,conjunction,A2,General,(TBD: or),The answer is _ .
this,determiner,A2,General,(TBD: this),The answer is _ .
are,verb,A2,General,(TBD: are),The answer is _ .
from,preposition,A2,General,(TBD: from),The answer is _ .
at,preposition,A2,General,(TBD: at),The answer is _ .
he,pronoun,A2,General,(TBD: he),The answer is _ .
that,determiner,A2,General,(TBD: that),The answer is _ .
which,determiner,A2,General,(TBD: which),The answer is _ .
an,determiner,A2,General,(TBD: an),The answer is _ .
have,verb,A2,General,(TBD: have),The answer is _ .
his,pronoun,A2,General,(TBD: his),The answer is _ .
but,conjunction,A2,General,(TBD: but),The answer is _ .
you,pronoun,A2,General,(TBD: you),The answer is _ .
were,verb,A2,General,(TBD: were),The answer is _ .
we,pronoun,A2,General,(TBD: we),The answer is _ .
they,pronoun,A2,General,(TBD: they),The answer is _ .
had,verb,A2,General,(TBD: had),The answer is _ .
all,determiner,A2,General,(TBD: all),The answer is _ .
has,verb,A2,General,(TBD: has),The answer is _ .
their,pronoun,A2,General,(TBD: their),The answer is _ .
been,verb,B1,General,(TBD: been),The answer is _ .
will,verb,B1,General,(TBD: will),The answer is _ .
can,verb,A2,General,(TBD: can),The answer is _ .
one,noun,A2,General,(TBD: one),The answer is _ .
if,preposition,A2,General,(TBD: if),The answer is _ .
other,adjective,A2,General,(TBD: other),The answer is _ .
would,verb,A2,General,(TBD: would),The answer is _ .
her,pronoun,A2,General,(TBD: her),The answer is _ .
when,adverb,A2,General,(TBD: when),The answer is _ .
its,pronoun,A2,General,(TBD: its),The answer is _ .
there,determiner,A2,General,(TBD: there),The answer is _ .
these,determiner,A2,General,(TBD: these),The answer is _ .
she,pronoun,A2,General,(TBD: she),The answer is _ .
who,pronoun,A2,General,(TBD: who),The answer is _ .
may,verb,A2,General,(TBD: may),The answer is _ .
than,preposition,A2,General,(TBD: than),The answer is _ .
any,determiner,A2,General,(TBD: any),The answer is _ .
time,noun,A2,General,(TBD: time),The answer is _ .
such,adjective,B1,General,(TBD: such),The answer is _ .
do,verb,A2,General,(TBD: do),The answer is _ .
no,determiner,A2,General,(TBD: no),The answer is _ .
some,determiner,A2,General,(TBD: some),The answer is _ .
also,adverb,A2,General,(TBD: also),The answer is _ .
into,preposition,A2,General,(TBD: into),The answer is _ .
what,pronoun,A2,General,(TBD: what),The answer is _ .
two,noun,A2,General,(TBD: two),The answer is _ .
them,pronoun,A2,General,(TBD: them),The answer is _ .
my,pronoun,A2,General,(TBD: my),The answer is _ .
so,adverb,B1,General,(TBD: so),The answer is _ .
about,preposition,A2,General,(TBD: about),The answer is _ .
him,pronoun,A2,General,(TBD: him),The answer is _ .
only,adverb,A2,General,(TBD: only),The answer is _ .
said,verb,B1,General,(TBD: said),The answer is _ .
our,pronoun,A2,General,(TBD: our),The answer is _ .
