word,definition,pos,cefr_level,theme,example_sentence,difficulty,word_type
abundant,Existing in large amounts; more than enough,adjective,B2,Nature & Environment,The forest had an _ supply of fresh water.,3,vocabulary
negotiate,To discuss something in order to reach an agreement,verb,B2,Work & Career,They met to _ the terms of the new contract.,3,vocabulary
deteriorate,To become worse over time,verb,C1,Health & Body,"Without treatment, her health began to _.",4,vocabulary
incentive,Something that encourages a person to act,noun,B2,Work & Career,The bonus was a strong _ to work harder.,3,vocabulary
resilient,Able to recover quickly from difficulty,adjective,C1,People & Relationships,Children are often more _ than adults expect.,4,vocabulary
ambiguous,Having more than one possible meaning,adjective,C1,Academic Study,The instructions were _ and confused the students.,4,vocabulary
sustainable,Able to continue without harming the environment,adjective,B2,Science & Nature,Solar power is a more _ source of energy.,3,vocabulary
advocate,To publicly support an idea or cause,verb,C1,Society & Culture,Many citizens _ for cleaner public transport.,4,vocabulary
inevitable,Certain to happen and impossible to avoid,adjective,C1,Society & Culture,Change felt _ after the new law passed.,4,vocabulary
scrutinize,To examine something very closely and carefully,verb,C1,Academic Study,The committee will _ every line of the budget.,4,vocabulary
